סמל יישוב,שם יישוב,סמל אזור סטטיסטי,אוכלוסייה,ערך מדד,דירוג  (מ-1 עד 1624)  ,  אשכול (מ-1 עד 10)  ,NAME OF LOCALITY
31,אופקים,1,"4,580",-0.569,340,3,OFAQIM
31,אופקים,2,"2,776",-0.529,356,3,OFAQIM
31,אופקים,3,"3,028",-0.900,242,2,OFAQIM
31,אופקים,4,"3,046",-0.676,301,3,OFAQIM
31,אופקים,6,"6,470",-1.606,93,2,OFAQIM
31,אופקים,7,"5,715",0.114,695,5,OFAQIM
2400,אור יהודה,1,"5,136",0.331,845,6,OR YEHUDA
2400,אור יהודה,2,"2,477",-0.098,555,5,OR YEHUDA
2400,אור יהודה,3,"2,450",-0.187,508,5,OR YEHUDA
2400,אור יהודה,4,"3,216",-0.278,467,4,OR YEHUDA
2400,אור יהודה,5,"2,054",-0.725,285,3,OR YEHUDA
2400,אור יהודה,7,"3,374",-0.450,395,3,OR YEHUDA
2400,אור יהודה,8,"1,843",-0.624,321,3,OR YEHUDA
2400,אור יהודה,9,"7,301",0.805,1110,7,OR YEHUDA
2400,אור יהודה,10,"3,403",1.004,1213,8,OR YEHUDA
2400,אור יהודה,11,210,-0.684,299,3,OR YEHUDA
2400,אור יהודה,12,"4,115",0.081,678,5,OR YEHUDA
2400,אור יהודה,13,485,0.366,869,6,OR YEHUDA
1020,אור עקיבא,1,"3,749",0.439,914,6,OR AQIVA
1020,אור עקיבא,2,"3,340",-0.624,322,3,OR AQIVA
1020,אור עקיבא,3,"4,608",-0.368,423,4,OR AQIVA
1020,אור עקיבא,4,"2,227",0.496,948,6,OR AQIVA
1020,אור עקיבא,5,"3,157",0.251,794,6,OR AQIVA
565,אזור,1,"4,096",0.968,1197,8,AZOR
565,אזור,2,"3,774",0.420,903,6,AZOR
565,אזור,3,"4,225",0.550,978,7,AZOR
2600,אילת,11,317,0.356,861,6,ELAT
2600,אילת,12,702,-0.027,601,5,ELAT
2600,אילת,13,490,0.214,762,6,ELAT
2600,אילת,14,"3,857",-0.130,545,5,ELAT
2600,אילת,15,"3,610",-0.111,550,5,ELAT
2600,אילת,16,341,0.450,922,6,ELAT
2600,אילת,21,"4,009",-0.241,486,4,ELAT
2600,אילת,22,"2,929",-0.135,540,5,ELAT
2600,אילת,23,"5,936",0.070,666,5,ELAT
2600,אילת,24,"3,827",0.806,1111,7,ELAT
2600,אילת,25,"2,303",-0.142,537,5,ELAT
2600,אילת,31,"3,522",0.292,816,6,ELAT
2600,אילת,32,"1,618",0.880,1160,7,ELAT
2600,אילת,33,"3,468",0.588,1000,7,ELAT
2600,אילת,34,"2,052",0.814,1112,7,ELAT
2600,אילת,35,"2,808",0.409,898,6,ELAT
2600,אילת,36,"7,919",0.634,1027,7,ELAT
1309,אלעד,1,"6,773",-1.378,143,2,EL'AD
1309,אלעד,2,"6,583",-1.296,161,2,EL'AD
1309,אלעד,3,"5,322",-1.347,150,2,EL'AD
1309,אלעד,4,"6,202",-1.639,87,1,EL'AD
1309,אלעד,5,"6,137",-1.627,90,1,EL'AD
1309,אלעד,6,"6,168",-1.387,139,2,EL'AD
1309,אלעד,7,"7,687",-1.388,138,2,EL'AD
3570,אריאל,1,"2,285",0.381,875,6,ARI'EL
3570,אריאל,2,"2,737",0.612,1016,7,ARI'EL
3570,אריאל,3,"4,499",0.675,1045,7,ARI'EL
3570,אריאל,4,"4,144",0.568,986,7,ARI'EL
3570,אריאל,5,"5,052",-0.011,610,5,ARI'EL
70,אשדוד,122,"2,757",-0.675,303,3,ASHDOD
70,אשדוד,123,"4,067",-0.472,382,3,ASHDOD
70,אשדוד,125,"2,272",-0.689,297,3,ASHDOD
70,אשדוד,126,"3,926",-0.746,278,3,ASHDOD
70,אשדוד,131,"2,170",-0.596,333,3,ASHDOD
70,אשדוד,132,"1,859",-0.895,246,2,ASHDOD
70,אשדוד,133,"4,143",-0.868,253,2,ASHDOD
70,אשדוד,141,"5,829",-1.988,38,1,ASHDOD
70,אשדוד,142,"3,232",-1.340,153,2,ASHDOD
70,אשדוד,143,"4,691",-1.268,167,2,ASHDOD
70,אשדוד,144,"6,780",-1.451,123,2,ASHDOD
70,אשדוד,211,"7,561",-1.835,56,1,ASHDOD
70,אשדוד,212,"7,607",-1.870,51,1,ASHDOD
70,אשדוד,213,"4,577",-1.862,52,1,ASHDOD
70,אשדוד,221,"2,942",-0.959,222,2,ASHDOD
70,אשדוד,222,"3,846",-0.924,233,2,ASHDOD
70,אשדוד,223,"3,529",-0.915,237,2,ASHDOD
70,אשדוד,231,"3,561",0.015,631,5,ASHDOD
70,אשדוד,232,"2,862",0.054,653,5,ASHDOD
70,אשדוד,233,"3,942",0.283,810,6,ASHDOD
70,אשדוד,234,"3,941",-0.470,383,3,ASHDOD
70,אשדוד,241,"5,633",-0.045,583,5,ASHDOD
70,אשדוד,242,"2,664",-0.390,411,4,ASHDOD
70,אשדוד,243,"2,981",0.333,847,6,ASHDOD
70,אשדוד,244,"2,244",0.516,958,7,ASHDOD
70,אשדוד,311,"2,062",0.741,1077,7,ASHDOD
70,אשדוד,312,"1,083",0.538,973,7,ASHDOD
70,אשדוד,313,468,0.776,1096,7,ASHDOD
70,אשדוד,314,"6,396",0.380,874,6,ASHDOD
70,אשדוד,315,"4,131",0.576,992,7,ASHDOD
70,אשדוד,316,"5,798",0.591,1002,7,ASHDOD
70,אשדוד,317,"4,627",0.547,976,7,ASHDOD
70,אשדוד,321,"4,297",0.031,639,5,ASHDOD
70,אשדוד,322,"4,494",-1.410,133,2,ASHDOD
70,אשדוד,323,"4,635",-0.501,369,3,ASHDOD
70,אשדוד,331,"2,874",0.270,803,6,ASHDOD
70,אשדוד,332,"1,858",0.320,833,6,ASHDOD
70,אשדוד,333,"5,177",0.104,691,5,ASHDOD
70,אשדוד,342,"4,385",0.421,904,6,ASHDOD
70,אשדוד,343,"3,126",0.432,909,6,ASHDOD
70,אשדוד,411,"4,387",0.364,868,6,ASHDOD
70,אשדוד,412,"3,579",0.491,945,6,ASHDOD
70,אשדוד,413,"2,599",0.408,897,6,ASHDOD
70,אשדוד,415,"4,967",0.911,1169,7,ASHDOD
70,אשדוד,421,"7,152",0.546,975,7,ASHDOD
70,אשדוד,422,"9,404",0.558,980,7,ASHDOD
70,אשדוד,423,"4,726",0.422,906,6,ASHDOD
70,אשדוד,424,"2,595",0.390,881,6,ASHDOD
70,אשדוד,425,"5,370",0.499,951,6,ASHDOD
70,אשדוד,426,"3,943",0.679,1047,7,ASHDOD
70,אשדוד,432,"4,737",1.010,1218,8,ASHDOD
