צורת יישוב,שם יישוב,סמל יישוב,אזור סטטיסטי,אוכלוסייה בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,"ישראלים יוצאים לחו""ל","ישראלים חוזרים מחו""ל","מאזן ישראלים יוצאים לחו""ל וחוזרים מחו""ל",הגירה בתוך יישוב בתוך אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בתוך אזורים סטטיסטיים - נכנסים,הגירה בתוך יישוב בין אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בין אזורים סטטיסטיים - נכנסים,מאזן הגירה בתוך יישוב בין אזורים סטטיסטיים,הגירה בין יישובים - יוצאים,הגירה בין יישובים - נכנסים,מאזן הגירה בין יישובים,"סה""כ גידול",אוכלוסייה בסוף שנה,אחוז גידול שנתי
,ירושלים,3000,0,-,-,..,..,..,-,-,-,-,-,-,8,..,-7,-,-,-,-,-,0.00%
,ירושלים,3000,111,"2,963",132,4,128,5,-,7,10,..,50,50,142,58,-84,115,36,-79,-8,"2,954",-0.28%
,ירושלים,3000,112,"2,879",89,7,82,..,-,..,..,..,8,8,92,53,-39,94,14,-80,-36,"2,842",-1.27%
,ירושלים,3000,113,"3,916",212,16,196,..,..,-,..,..,27,27,229,178,-51,132,37,-95,43,"3,959",1.11%
,ירושלים,3000,114,"3,921",156,18,138,4,-,8,4,-4,83,83,132,131,..,89,43,-46,105,"4,026",2.69%
,ירושלים,3000,115,"4,640",209,18,191,..,-,..,..,-,84,84,147,158,11,109,46,-63,112,"4,751",2.41%
,ירושלים,3000,116,"7,022",316,18,298,7,-,..,..,..,119,119,213,293,80,104,57,-47,367,"7,388",5.22%
,ירושלים,3000,121,"4,974",74,29,45,..,..,6,..,..,21,21,102,241,139,66,56,-10,194,"5,168",3.90%
,ירושלים,3000,122,"3,241",72,17,55,5,..,..,..,..,28,28,143,128,-15,87,21,-66,-18,"3,223",-0.56%
,ירושלים,3000,123,"4,833",102,29,73,9,..,8,5,..,26,26,179,189,10,96,57,-39,74,"4,907",1.53%
