סמל יישוב ,שם יישוב,אזור סטטיסטי,מין,"סה""כ",4-0,9-5,14-10,19-15,24-20,29-25,34-30,39-35,44-40,49-45,54-50,59-55,64-60,+65
472,אבו גוש,,"סה""כ","7,771",791,741,730,691,687,632,567,524,472,432,352,363,313,475
472,אבו גוש,,גברים,"3,891",368,399,372,360,347,298,290,249,233,230,181,191,145,228
472,אבו גוש,,נשים,"3,880",423,343,358,331,340,334,277,275,239,202,171,172,168,247
473,אבו סנאן,,"סה""כ","14,306","1,285","1,146","1,221","1,373","1,314","1,263","1,054",912,955,885,719,647,522,"1,010"
473,אבו סנאן,,גברים,"7,307",665,603,639,712,673,678,516,472,459,448,373,322,265,480
473,אבו סנאן,,נשים,"7,000",619,543,582,661,641,585,538,439,495,436,346,325,257,530
1342,אבו קורינאת (יישוב),,"סה""כ","1,994",391,272,242,204,216,167,152,77,99,70,29,31,20,25
1342,אבו קורינאת (יישוב),,גברים,"1,031",196,130,110,108,114,93,100,42,51,34,11,18,8,14
1342,אבו קורינאת (יישוב),,נשים,963,194,142,132,96,102,73,52,34,47,36,18,13,11,11
1375,אבו תלול,,"סה""כ","2,139",449,328,245,214,177,175,131,100,84,84,50,31,29,42
1375,אבו תלול,,גברים,"1,099",220,170,136,103,95,99,67,47,39,47,26,14,15,21
1375,אבו תלול,,נשים,"1,040",229,158,109,111,82,76,64,53,45,36,24,16,13,21
652,אבטין,,"סה""כ","2,887",274,276,284,325,290,262,212,136,134,179,135,139,99,142
652,אבטין,,גברים,"1,472",156,150,149,161,133,136,119,63,74,90,59,68,55,59
652,אבטין,,נשים,"1,415",118,126,135,165,157,126,93,74,60,89,76,71,44,83
2710,אום אל-פחם,,"סה""כ","56,777","5,564","5,509","5,885","6,230","5,835","4,766","3,582","3,180","3,406","3,372","2,863","2,378","1,562","2,645"
2710,אום אל-פחם,,גברים,"28,947","2,887","2,815","3,001","3,185","3,078","2,492","1,788","1,645","1,653","1,739","1,479","1,199",768,"1,218"
2710,אום אל-פחם,,נשים,"27,829","2,677","2,693","2,884","3,045","2,757","2,275","1,794","1,534","1,754","1,633","1,385","1,179",794,"1,426"
2024,אום אל-קוטוף,,"סה""כ","1,151",118,115,103,129,106,93,87,75,63,54,59,47,43,59
2024,אום אל-קוטוף,,גברים,595,66,62,42,66,52,49,41,47,38,28,28,23,26,28
2024,אום אל-קוטוף,,נשים,555,52,52,62,63,54,44,46,28,25,27,31,24,17,30
1358,אום בטין,,"סה""כ","4,489",838,609,495,546,510,355,280,228,167,141,99,89,50,84
1358,אום בטין,,גברים,"2,233",429,331,256,273,249,178,138,102,73,64,39,38,27,35
