סמל יישוב ,שם יישוב ,אזור סטטיסטי,קבוצת אוכלוסייה,מין,"סה""כ",4-0,9-5,14-10,19-15,24-20,29-25,34-30,39-35,44-40,49-45,54-50,59-55,64-60,+65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,"סה""כ","סה""כ","2,441",336,306,217,152,156,174,181,168,115,102,76,90,109,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,"סה""כ",גברים,"1,172",165,152,102,78,74,86,89,79,64,49,40,38,53,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,"סה""כ",נשים,"1,268",171,154,116,74,82,87,92,89,51,54,36,51,57,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים,"סה""כ","2,334",332,299,215,145,153,164,174,156,111,96,67,83,100,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים,גברים,"1,122",164,149,100,76,72,81,84,73,61,48,35,34,49,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים,נשים,"1,212",168,151,115,69,80,83,90,83,50,48,32,49,51,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים ואחרים,"סה""כ","2,440",336,306,217,152,156,174,181,167,115,102,76,90,109,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים ואחרים,גברים,"1,171",165,152,102,78,74,86,89,78,64,49,40,38,53,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,יהודים ואחרים,נשים,"1,268",171,154,116,74,82,87,92,89,51,54,36,51,57,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,ערבים,"סה""כ",..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,111,ערבים,גברים,..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,"סה""כ","סה""כ","5,876",630,709,651,467,350,295,328,366,334,298,227,178,202,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,"סה""כ",גברים,"2,839",333,376,313,201,176,128,151,177,170,147,118,84,103,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,"סה""כ",נשים,"3,037",297,333,338,266,174,167,178,190,164,151,109,95,99,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים,"סה""כ","5,853",630,705,648,465,349,294,328,366,333,296,226,178,202,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים,גברים,"2,828",333,373,311,200,175,127,151,177,170,147,118,84,103,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים,נשים,"3,025",297,332,338,265,174,167,178,190,163,149,108,95,99,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים ואחרים,"סה""כ","5,876",630,709,651,467,350,295,328,366,334,298,227,178,202,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים ואחרים,גברים,"2,839",333,376,313,201,176,128,151,177,170,147,118,84,103,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,112,יהודים ואחרים,נשים,"3,037",297,333,338,266,174,167,178,190,164,151,109,95,99,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,"סה""כ","סה""כ","4,871",310,319,295,223,283,294,327,370,310,298,273,263,286,"1,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,"סה""כ",גברים,"2,402",157,177,153,108,144,140,174,193,161,153,131,133,126,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,"סה""כ",נשים,"2,469",153,142,143,114,139,155,153,177,149,146,142,130,160,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,יהודים,"סה""כ","4,090",243,265,253,184,228,240,267,279,255,227,218,217,251,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,יהודים,גברים,"2,041",120,147,128,88,119,115,145,152,136,124,109,110,110,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,חיפה,121,יהודים,נשים,"2,049",123,117,125,96,109,125,121,127,119,103,109,106,141,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
