מחוז,סמל יישוב,שם יישוב,אזור סטטיסטי,סך הכל אוכלוסייה באזור הסטטיסטי,מזה: חרדים מספרים מוחלטים,מזה: חרדים אחוזים
ירושלים,1123,אדרת,0,886,..,..
ירושלים,780,אורה,0,"1,297",..,..
ירושלים,886,איתנים,0,60,..,..
ירושלים,740,אשתאול,0,"1,253",175,14.0
ירושלים,751,בית מאיר,0,817,218,26.7
ירושלים,2610,בית שמש,12,"12,022","11,992",99.8
ירושלים,2610,בית שמש,13,"5,334",218,4.1
ירושלים,2610,בית שמש,14,"5,418","1,051",19.4
ירושלים,2610,בית שמש,15,"3,540",440,12.4
ירושלים,2610,בית שמש,16,"4,608",566,12.3
ירושלים,2610,בית שמש,17,107,..,..
ירושלים,2610,בית שמש,21,"2,730",54,2.0
ירושלים,2610,בית שמש,22,"4,887",192,3.9
ירושלים,2610,בית שמש,23,"1,128",169,14.9
ירושלים,2610,בית שמש,24,"4,290","1,269",29.6
ירושלים,2610,בית שמש,25,"3,304",390,11.8
ירושלים,2610,בית שמש,26,"8,218","8,189",99.6
ירושלים,2610,בית שמש,27,"5,700","5,637",98.9
ירושלים,2610,בית שמש,31,"7,050","6,077",86.2
ירושלים,2610,בית שמש,32,"11,019","10,996",99.8
ירושלים,2610,בית שמש,33,"7,866","7,805",99.2
ירושלים,2610,בית שמש,34,"7,232","6,226",86.1
ירושלים,2610,בית שמש,35,"6,020","3,073",51.1
ירושלים,2610,בית שמש,36,"5,890","4,771",81.0
ירושלים,2610,בית שמש,37,"7,558","5,902",78.1
ירושלים,2610,בית שמש,38,"18,624","17,324",93.0
ירושלים,787,גבעת יערים,0,"1,433",..,..
ירושלים,566,גבעת שמש,0,55,..,..
ירושלים,816,זנוח,0,541,74,13.6
ירושלים,1144,ידידה,0,228,..,..
ירושלים,3000,ירושלים,111,"2,954","2,886",97.7
ירושלים,3000,ירושלים,112,"2,842","2,708",95.3
ירושלים,3000,ירושלים,113,"3,959","3,235",81.7
ירושלים,3000,ירושלים,114,"4,026","3,179",79.0
ירושלים,3000,ירושלים,115,"4,751","3,717",78.2
ירושלים,3000,ירושלים,116,"7,389","5,581",75.5
ירושלים,3000,ירושלים,121,"5,168",640,12.4
ירושלים,3000,ירושלים,122,"3,223",355,11.0
ירושלים,3000,ירושלים,123,"4,907","1,027",20.9
ירושלים,3000,ירושלים,124,"2,280",467,20.5
ירושלים,3000,ירושלים,125,"4,336","1,454",33.5
ירושלים,3000,ירושלים,131,"2,586",68,2.6
ירושלים,3000,ירושלים,132,"4,497",..,..
ירושלים,3000,ירושלים,133,"5,569",534,9.6
ירושלים,3000,ירושלים,134,"2,731",67,2.4
ירושלים,3000,ירושלים,135,"4,400",384,8.7
ירושלים,3000,ירושלים,136,"4,099",..,..
ירושלים,3000,ירושלים,411,"5,729","5,497",96.0
ירושלים,3000,ירושלים,412,"4,757","4,609",96.9
ירושלים,3000,ירושלים,413,"4,509","4,438",98.4
ירושלים,3000,ירושלים,421,"6,965","4,788",68.7
ירושלים,3000,ירושלים,422,"3,783","2,689",71.1
ירושלים,3000,ירושלים,423,"5,462","5,074",92.9
ירושלים,3000,ירושלים,424,"3,184","2,579",81.0
ירושלים,3000,ירושלים,425,"6,418","6,357",99.0
ירושלים,3000,ירושלים,426,"5,714","5,637",98.7
ירושלים,3000,ירושלים,431,"5,257","3,023",57.5
ירושלים,3000,ירושלים,432,"5,114","4,493",87.9
ירושלים,3000,ירושלים,433,"2,629","1,535",58.4
ירושלים,3000,ירושלים,434,"3,761","2,632",70.0
ירושלים,3000,ירושלים,435,"2,111",396,18.8
ירושלים,3000,ירושלים,512,"2,887","2,820",97.7
ירושלים,3000,ירושלים,513,"3,948","3,906",98.9
ירושלים,3000,ירושלים,514,"4,270","3,991",93.5
ירושלים,3000,ירושלים,515,"4,558","4,212",92.4
ירושלים,3000,ירושלים,521,"4,355","4,161",95.5
ירושלים,3000,ירושלים,522,"4,177","3,638",87.1
ירושלים,3000,ירושלים,523,"3,132","2,086",66.6
ירושלים,3000,ירושלים,531,"3,253","2,815",86.5
ירושלים,3000,ירושלים,532,"4,990","4,692",94.0
ירושלים,3000,ירושלים,533,"2,699","2,563",95.0
ירושלים,3000,ירושלים,541,"4,049",794,19.6
ירושלים,3000,ירושלים,542,"3,071",581,18.9
ירושלים,3000,ירושלים,543,664,..,..
ירושלים,3000,ירושלים,812,"3,686","2,525",68.5
ירושלים,3000,ירושלים,821,"8,748","8,652",98.9
ירושלים,3000,ירושלים,822,"6,897","6,585",95.5
ירושלים,3000,ירושלים,823,"4,149","3,931",94.8
ירושלים,3000,ירושלים,824,"9,854","9,725",98.7
ירושלים,3000,ירושלים,825,"2,804","2,665",95.1
ירושלים,3000,ירושלים,826,"6,324","6,204",98.1
ירושלים,3000,ירושלים,832,"4,102","3,742",91.2
ירושלים,3000,ירושלים,833,"1,524","1,240",81.3
ירושלים,3000,ירושלים,834,"4,399","3,981",90.5
ירושלים,3000,ירושלים,835,"2,687","2,606",97.0
ירושלים,3000,ירושלים,836,"4,270","3,838",89.9
ירושלים,3000,ירושלים,841,"1,881","1,100",58.5
ירושלים,3000,ירושלים,842,786,461,58.6
ירושלים,3000,ירושלים,843,933,203,21.7
ירושלים,3000,ירושלים,846,"1,180",..,..
ירושלים,3000,ירושלים,847,835,165,19.7
ירושלים,3000,ירושלים,848,"1,312",115,8.8
ירושלים,3000,ירושלים,851,888,690,77.7
ירושלים,3000,ירושלים,852,713,113,15.9
ירושלים,3000,ירושלים,853,"1,838",674,36.6
ירושלים,3000,ירושלים,854,"1,773",186,10.5
ירושלים,3000,ירושלים,855,"1,577",253,16.0
