סמל יישוב,שם יישוב,סך הכל אוכלוסייה ביישוב,מזה: חרדים מספרים מוחלטים,מזה: חרדים אחוזים
2052,אביטל, 495 , .. ,..
182,אבן יהודה," 14,020 ", .. ,..
400,אבן שמואל," 2,238 ", .. ,..
3786,אבנת, 255 ,..,..
1123,אדרת, 886 , .. ,..
31,אופקים," 32,555 ","10,439",32.1
1294,אור הגנוז, 593 ,479,80.8
2400,אור יהודה," 36,770 ","1,302",3.5
1020,אור עקיבא," 19,447 ",548,2.8
780,אורה," 1,297 ", .. ,..
565,אזור," 13,332 ",205,1.5
797,אחיעזר," 1,978 ",724,36.6
338,איבים, 651 , .. ,..
2600,אילת," 52,519 ",380,0.7
3762,איתמר," 1,285 ",392,30.5
886,איתנים, 60 , .. ,..
3579,אלון מורה," 2,010 ",..,..
3604,אלון שבות," 3,071 ", .. ,..
4017,אלוני הבשן, 447 ,..,..
868,אלוני יצחק, 299 , .. ,..
4002,אלי-עד, 464 ,..,..
41,אליכין," 3,484 ",339,9.7
682,אליקים, 928 , .. ,..
841,אלישמע," 1,204 ", .. ,..
1309,אלעד," 49,167 ","43,884",89.3
3560,אלקנה," 3,911 ", .. ,..
3754,אספר, 986 ,706,71.6
3650,אפרת," 11,405 ",..,..
3570,אריאל," 19,582 ",..,..
1276,אשבל, 139 , .. ,..
70,אשדוד," 226,154 ","46,931",20.8
7100,אשקלון," 146,519 ","3,008",2.1
740,אשתאול," 1,253 ", .. ,..
1376,באר גנים," 1,763 ", .. ,..
2530,באר יעקב," 29,015 ",765,2.6
9000,באר שבע," 210,595 ","4,042",1.9
559,בוסתן הגליל," 1,302 ", .. ,..
2043,בחן," 1,115 ", .. ,..
368,בירייה, 816 , .. ,..
3574,בית אל," 5,684 ",..,..
3652,בית אריה-עופרים," 5,351 ",..,..
1076,בית ברל, 226 , .. ,..
466,בית דגן," 7,299 ", .. ,..
572,בית העמק, 713 , .. ,..
2033,בית חלקיה," 1,407 ","1,402",99.6
751,בית מאיר, 817 ,218,26.7
212,בית צבי, 314 , .. ,..
848,בית רבן, 931 , .. ,..
9200,בית שאן," 18,705 ",534,2.9
2610,בית שמש," 132,544 ","92,344",69.7
3780,ביתר עילית," 61,125 ","60,662",99.2
712,בן עמי, 777 , .. ,..
1084,בן שמן (כפר נוער), 671 , .. ,..
6100,בני ברק," 208,793 ","191,989",92.0
1363,בני נצרים, 820 , .. ,..
1066,"בני עי""ש"," 6,925 ", .. ,..
588,בני ראם," 1,428 ",205,14.3
9800,בנימינה-גבעת עדה*," 15,925 ",..,..
3744,ברוכין," 1,478 ",..,..
428,ברור חיל," 1,002 ", .. ,..
3710,ברכה," 2,926 ",..,..
746,ברכיה," 1,252 ", .. ,..
2038,ברקת," 2,127 ",556,26.1
6200,בת ים," 127,803 ","2,969",2.3
3794,בת עין," 1,605 ",294,18.3
379,גאולים, 969 , .. ,..
3763,גבע בנימין," 5,761 ","1,173",20.4
683,גבע כרמל," 1,220 ", .. ,..
1293,גבעת אבני," 2,084 ", .. ,..
3730,גבעת זאב," 19,225 ","9,733",50.6
787,גבעת יערים," 1,433 ", .. ,..
681,גבעת שמואל," 27,249 ", .. ,..
566,גבעת שמש, 55 , .. ,..
6300,גבעתיים," 61,061 ",..,..
2550,גדרה," 28,896 ",383,1.3
196,גיבתון, 386 ,..,..
3613,גיתית, 497 , .. ,..
166,גן יבנה," 23,925 ", .. ,..
3823,גני מודיעין," 2,716 ","1,516",55.8
229,גני תקווה," 21,551 ","1,176",5.5
574,גשר הזיו," 1,624 ", .. ,..
3747,דולב," 1,513 ",..,..
2200,דימונה," 35,269 ",620,1.8
300,דלייה, 846 , .. ,..
431,דלתון, 866 , .. ,..
9700,הוד השרון," 64,489 ",..,..
307,הזורעים," 1,082 ", .. ,..
3603,הר גילה," 1,627 ",..,..
1249,הרדוף," 1,105 ",..,..
6400,הרצלייה," 98,966 ",335,0.3
815,זבדיאל, 574 , .. ,..
788,זיתן," 1,039 ", .. ,..
9300,זכרון יעקב," 23,437 ","2,549",10.9
816,זנוח, 541 , .. ,..
235,חבצלת השרון, 487 ,..,..
3764,חגי, 676 ,..,..
6500,חדרה," 98,908 ","3,882",3.9
6600,חולון," 197,246 ","4,248",2.2
4000,חיפה," 283,736 ","16,213",5.7
801,"חמ""ד"," 1,317 ",339,25.8
3646,חמדת, 310 ,..,..
3609,חמרה, 259 , .. ,..
4005,חספין," 2,007 ",..,..
406,חצור-אשדוד, 648 , .. ,..
2034,חצור הגלילית," 9,569 ","2,478",25.9
422,חרב לאת, 930 , .. ,..
1247,חריש," 19,567 ","2,957",15.1
3770,חשמונאים," 2,712 ",..,..
6700,טבריה," 45,867 ","9,134",19.9
2100,טירת כרמל," 24,296 ",421,1.7
268,טירת צבי, 923 , .. ,..
3788,טלמון," 4,882 ",377,7.7
1214,טפחות, 509 , .. ,..
46,יבנאל," 4,332 ","2,293",52.9
2660,יבנה," 49,836 ","1,400",2.8
577,יד בנימין," 4,253 ","1,082",25.4
1144,ידידה, 228 , .. ,..
9400,יהוד-מונוסון," 30,020 ",..,..
4007,יונתן, 770 ,..,..
803,יושיביה, 700 , .. ,..
3607,"ייט""ב", 322 , .. ,..
753,ינוב, 930 , .. ,..
440,יסודות, 992 ,936,94.3
3749,יצהר," 1,838 ",..,..
240,יקנעם עילית," 24,091 ",257,1.1
831,ירוחם," 10,773 ","1,304",12.1
3000,ירושלים," 951,149 ","275,778",29.0
805,ישעי, 806 , .. ,..
3564,כוכב השחר," 2,450 ",368,15.0
3779,כוכב יעקב," 9,116 ","5,977",65.6
1229,כלנית, 251 , .. ,..
2006,כנות, 454 , .. ,..
859,כסלון, 470 , .. ,..
3638,כפר אדומים," 4,785 ",..,..
890,כפר הנוער הדתי, 376 , .. ,..
217,"כפר הרא""ה"," 1,475 ", .. ,..
1263,כפר ורדים," 5,492 ", .. ,..
1325,כפר זוהרים, 148 , .. ,..
786,כפר זיתים, 796 , .. ,..
696,"כפר חב""ד"," 6,733 ","6,504",96.6
1297,כפר חנניה, 762 ,..,..
112,כפר חסידים א', 837 , .. ,..
168,כפר יונה," 26,182 ", .. ,..
6900,כפר סבא," 101,830 ",..,..
107,כפר סילבר, 399 , .. ,..
875,כפר עבודה, 225 , .. ,..
3488,כפר עציון," 1,203 ", .. ,..
189,כפר פינס," 1,088 ", .. ,..
388,כפר קיש, 663 , .. ,..
605,כפר שמאי, 574 ,202,35.1
267,כפר שמריהו," 1,925 ", .. ,..
3572,כפר תפוח," 1,473 ",..,..
1094,כרם יבנה (ישיבה), 529 , .. ,..
1139,כרמיאל," 46,122 ","1,693",3.7
768,כרמייה, 653 , .. ,..
3656,כרמל, 447 ,..,..
7000,לוד," 80,932 ","6,596",8.1
102,מאיר שפיה, 336 , .. ,..
3709,מבוא חורון," 2,686 ",414,15.4
1318,מבואות ים, 369 ,..,..
1015,מבשרת ציון," 24,247 ",246,1.0
65,מגדל," 1,980 ",227,11.5
874,מגדל העמק," 25,722 ","3,432",13.3
3561,מגדל עוז, 576 , .. ,..
2029,מדרך עוז, 794 , .. ,..
897,מדרשת רופין, 226 , .. ,..
1200,מודיעין-מכבים-רעות*," 94,657 ", .. ,..
3797,מודיעין עילית," 77,967 ","77,751",99.7
28,מזכרת בתיה," 15,093 ", .. ,..
104,מזרע, 802 , .. ,..
3599,מחולה, 629 ,..,..
607,מירון," 1,076 ",464,43.1
1154,מלכישוע, 241 , .. ,..
1205,מנות, 475 , .. ,..
48,מנחמיה," 1,054 ", .. ,..
1082,מעגלים," 2,080 ", .. ,..
3657,מעון, 594 ,..,..
3616,מעלה אדומים," 37,846 ",892,2.4
3608,מעלה אפרים," 1,255 ", .. ,..
3752,מעלה לבונה, 946 ,..,..
1063,מעלות-תרשיחא," 22,122 ",723,3.3
1370,מצפה אילן, 725 ,..,..
3576,מצפה יריחו," 2,577 ",..,..
1190,מצפה נטופה," 1,035 ", .. ,..
99,מצפה רמון," 5,185 ", .. ,..
3610,מצפה שלם, 244 , .. ,..
22,מקווה ישראל, 374 , .. ,..
97,מרחביה (מושב), 666 , .. ,..
1098,מרכז שפירא," 2,467 ", .. ,..
3785,משכיות, 333 ,..,..
194,משמר השרון, 622 , .. ,..
3648,מתתיהו, 898 ,756,84.3
9100,נהרייה," 59,156 ",703,1.2
4304,נוב, 995 , .. ,..
1366,נווה," 1,314 ",371,28.2
926,נווה אבות, 50 ,..,..
1071,נווה מיכאל, 878 , .. ,..
3573,נווה צוף," 1,494 ",..,..
1333,נוף איילון," 2,080 ", .. ,..
1061,נוף הגליל," 41,937 ","1,806",4.3
3726,נוקדים," 2,591 ",..,..
447,נורדייה," 2,233 ", .. ,..
3767,נחליאל, 735 ,..,..
449,נחלים," 1,848 ", .. ,..
4014,נטור, 871 ,..,..
351,ניצן," 2,573 ", .. ,..
1195,ניצנה (קהילת חינוך), 348 , .. ,..
720,ניר גלים," 1,408 ", .. ,..
769,ניר עציון, 967 , .. ,..
2048,ניר עקיבא, 666 , .. ,..
825,נס הרים," 1,452 ", .. ,..
7200,נס ציונה," 50,706 ", .. ,..
186,נעורים, 413 , .. ,..
2500,נשר," 24,039 ",..,..
246,נתיבות," 39,703 ","16,722",42.1
7400,נתניה," 222,129 ","15,384",6.9
419,סעד, 845 , .. ,..
2035,עדנים, 517 , .. ,..
32,עוצם, 727 , .. ,..
837,עזריאל, 866 ,..,..
3658,עטרת, 943 ,..,..
676,עין השלושה, 367 , .. ,..
157,עין ורד," 1,545 ", .. ,..
7600,עכו," 49,503 ",669,1.4
3765,עלי," 4,601 ",..,..
688,עלמה, 707 , .. ,..
3660,עמנואל," 4,129 ","3,659",88.6
708,עמקה, 794 , .. ,..
7700,עפולה," 56,769 ","4,892",8.6
2560,ערד," 27,208 ","8,388",30.8
53,עתלית," 9,731 ", .. ,..
3748,עתניאל, 980 ,..,..
3768,פדואל," 2,044 ",..,..
3723,פני חבר, 678 ,..,..
7800,פרדס חנה-כרכור," 43,760 ",269,0.6
7900,פתח תקווה," 250,484 ","21,847",8.7
3791,צופים," 2,433 ",..,..
1113,צור הדסה," 11,584 ", .. ,..
276,צור משה," 3,312 ", .. ,..
8000,צפת," 36,061 ","16,087",44.6
3557,קדומים," 4,586 ", .. ,..
195,קדימה-צורן," 22,717 ",214,0.9
766,קוממיות, 551 , .. ,..
3601,קליה, 465 ,..,..
4100,קצרין," 7,500 ",..,..
2620,קריית אונו," 40,835 ",..,..
3611,קריית ארבע," 7,338 ", .. ,..
6800,קריית אתא," 59,364 ","3,107",5.2
9500,קריית ביאליק," 41,912 ",..,..
2630,קריית גת," 58,482 ","9,226",15.8
2300,קריית טבעון," 18,312 ", .. ,..
9600,קריית ים," 39,459 ",..,..
1137,קריית יערים," 6,238 ","6,037",96.8
2039,קריית יערים (מוסד), 165 ,..,..
8200,קריית מוצקין," 45,463 ",..,..
1034,קריית מלאכי," 24,384 ","5,079",20.8
469,קריית עקרון," 11,077 ",349,3.1
412,קריית שלמה, 233 , .. ,..
2800,קריית שמונה," 22,363 ",237,1.1
3640,קרני שומרון," 9,417 ",..,..
4006,קשת, 842 ,..,..
2640,ראש העין," 67,624 ","3,844",5.7
8300,ראשון לציון," 256,053 ","1,923",0.8
1341,רוח מדבר, 68 , .. ,..
8400,רחובות," 146,095 ","12,393",8.5
922,רכסים," 13,265 ","12,099",91.2
8500,רמלה," 76,987 ","1,203",1.6
8600,רמת גן," 167,556 ","1,472",0.9
135,רמת דוד, 540 , .. ,..
2650,רמת השרון," 47,512 ",686,1.4
122,רמת ישי," 7,897 ", .. ,..
4701,רמת מגשימים, 755 , .. ,..
8700,רעננה," 76,277 ",704,0.9
3571,שבי שומרון," 1,031 ",..,..
304,שדה אליהו, 705 , .. ,..
142,שדה יעקב," 1,096 ", .. ,..
2008,שדה יצחק, 715 , .. ,..
259,שדה נחום, 913 , .. ,..
327,שדות ים," 1,108 ", .. ,..
3578,שדמות מחולה, 665 ,..,..
1031,שדרות," 29,074 ",440,1.5
614,שומרה, 367 , .. ,..
1265,שומרייה, 836 , .. ,..
456,שורש," 1,215 ", .. ,..
3641,שילה," 4,483 ",..,..
812,שלומי," 6,754 ", .. ,..
856,שעלבים," 1,910 ", .. ,..
237,שער העמקים, 763 , .. ,..
921,שער מנשה, 527 , .. ,..
1083,תושייה, 842 , .. ,..
5000,תל אביב-יפו," 463,808 ","5,104",1.1
154,תל מונד," 13,492 ", .. ,..
3719,תלם, 478 ,..,..
814,תלמים, 920 , .. ,..
709,תפרח," 2,268 ","2,151",94.8
3563,תקוע," 4,168 ", .. ,..
,,,,
,,,,
,,,,
