שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,15003711,2020,Abu Juway'ad,
אבו גוש,472,ABU GHOSH,1,11,111,99,444,2,7771,87,68,7684,,280,,2105263481,686,152,10002475,2020,Abu Ghosh,
אבו סנאן,473,ABU SINAN,2,24,245,99,,2,14306,29,13,14277,,270,,2161876289,71,252,15002143,2020,Abu Sinan,
אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2020,Abu Surayhan,
אבו עבדון (שבט),958,ABU ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2020,Abu 'Abdun,
אבו עמאר (שבט),1042,ABU AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,15003711,2020,Abu 'Ammar,
אבו עמרה (שבט),932,ABU AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2020,Abu 'Amra,
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623,68,,2,1994,,,1994,,450,,1963656105,449,624,15003711,2020,Abu Qureinat,610
אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,15003711,2020,Abu Kuraynat,
אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2020,Abu Rubay'a,
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,15003711,2020,Abu Rukayyek,
אבו תלול,1375,ABU TULUL,6,62,623,68,,2,2139,7,1,2132,,290,,1933456589,388,624,15003711,2020,Abu Tulul,610
אבטין,652,IBTIN,3,31,311,12,222,2,2887,2,2,2885,,290,,2109274077,48,301,10004207,2020,Ibtin,310
אבטליון,1275,AVTALYON,2,24,241,56,,1,478,478,458,,1987,370,10,2332474908,360,205,10004513,2020,Avtalyon,210
אביאל,679,AVI'EL,3,32,324,45,,1,791,791,778,,1949,310,9,1996171533,53,351,10004333,2020,Avi'el,
אביבים,1115,AVIVIM,2,21,212,2,,1,474,474,473,,1960,310,1,2444177707,723,209,10004528,2020,Avivim,211
אביגדור,819,AVIGEDOR,6,61,611,33,143,1,816,816,811,,1950,310,1,1757362428,64,616,10001821,2020,Avigedor,420
אביחיל,175,AVIHAYIL,4,41,411,16,141,1,1409,1409,1369,,1932,310,1,1880869527,37,409,10002089,2020,Avihayil,
אביטל,2052,AVITAL,2,23,234,8,,1,495,495,495,,1953,310,1,2291271816,72,204,10004394,2020,Avital,213
אביעזר,1070,AVI'EZER,1,11,112,26,444,1,864,864,859,,1958,310,2,2016662104,374,151,15000597,2020,Avi'ezer,
אבירים,1220,ABBIRIM,2,24,244,52,,1,271,271,255,,1980,370,19,2271577149,560,255,10004484,2020,Abbirim,212
אבן יהודה,182,EVEN YEHUDA,4,41,411,99,141,1,14020,14018,13794,2,1932,170,,1894368642,36,457,15000060,2020,Even Yehuda,
אבן מנחם,1081,EVEN MENAHEM,2,24,244,52,,1,280,280,279,,1960,310,1,2278177545,604,255,10004302,2020,Even Menahem,212
אבן ספיר,783,EVEN SAPPIR,1,11,111,26,444,1,711,711,702,,1950,310,1,2128463002,609,151,10002521,2020,Even Sappir,
אבן שמואל,400,EVEN SHEMU'EL,6,61,612,34,,1,2238,2238,2235,,1956,190,,1777860926,157,631,10001813,2020,Even Shemu'el,
אבני איתן,4011,AVNE ETAN,2,29,294,71,,1,740,740,740,,1978,310,2,2719674774,381,219,10004579,2020,Avne Etan,211
אבני חפץ,3793,AVNE HEFEZ,7,73,,72,,1,2080,2080,2066,,1990,190,11,2070768795,203,710,15004488,2020,Avne Hefez,
אבנת,3786,AVENAT,7,75,,74,,1,255,255,255,,1983,370,,2414762075,-351,713,10003314,2020,Avenat,710
אבשלום,1311,AVSHALOM,6,62,622,38,,1,323,323,240,,1990,370,10,1361956745,92,651,10001893,2020,Avshalom,620
אדורה,3759,ADORA,7,77,,78,,1,447,447,440,,1984,370,9,2016960665,637,715,15003512,2020,Adora,
אדירים,113,ADDIRIM,2,23,234,8,,1,280,280,279,,1956,310,1,2257871719,71,204,10004394,2020,Addirim,213
אדמית,1068,ADAMIT,2,24,244,4,,1,246,246,215,,1958,330,15,2198477600,448,201,10004302,2020,Adamit,212
אדרת,1123,ADDERET,1,11,112,26,444,1,886,886,886,,1961,310,1,1995861868,429,151,15000597,2020,Adderet,
אודים,446,UDIM,4,41,411,19,141,1,1406,1406,1369,,1948,310,10,1858168580,11,401,15000060,2020,Udim,
אודם,4010,ODEM,2,29,292,71,,1,155,155,152,,1976,320,6,2702878880,1049,219,10004579,2020,Odem,211
אוהד,1046,OHAD,6,62,622,38,,1,409,390,388,18,1969,310,1,1458057199,131,651,10001893,2020,Ohad,620
אום אל-פחם,2710,UMM AL-FAHM,3,32,323,0,,2,56777,54,23,56722,,250,,2145071403,310,354,10004249,2020,Umm al-Fahm,
אום אל-קוטוף,2024,UMM AL-QUTUF,3,32,323,14,,2,1151,1,,1150,,450,,2055370835,140,351,10004233,2020,Umm Al-Qutuf,
אום בטין,1358,UMM BATIN,6,62,623,69,342,2,4489,15,13,4474,,290,,1886757656,329,624,10001937,2020,Umm Batin,610
אומן,1108,OMEN,2,23,234,8,,1,468,468,442,,1958,350,,2230271879,65,204,10004394,2020,Omen,213
אומץ,680,OMEZ,4,41,412,16,141,1,829,828,809,1,1949,310,1,1996769744,33,409,15000060,2020,Omez,
אופקים,31,OFAQIM,6,62,622,0,,1,32555,32333,30206,222,1955,160,,1637757969,142,601,10001893,2020,Ofaqim,620
אור הגנוז,1294,OR HAGANUZ,2,21,212,2,,1,593,593,593,,1989,320,11,2421276783,731,209,10004528,2020,Or HaGanuz,211
אור הנר,67,OR HANER,6,61,614,37,,1,788,788,766,,1957,330,15,1620260736,55,651,10001829,2020,Or HaNer,620
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36770,36707,35864,62,1950,160,,1863465962,29,510,10001516,2020,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,19447,19348,17750,99,1951,170,,1927171271,15,353,10004261,2020,Or Aqiva,
אורה,780,ORA,1,11,111,26,444,1,1297,1288,1235,9,1950,310,1,2145862906,800,151,10002521,2020,Ora,
אורון,1771,,6,62,626,48,,,,,,,,520,,2014453557,356,620,10001918,2020,,610
אורות,2012,OROT,6,61,611,33,143,1,480,480,475,,1952,310,1,1749262782,51,616,10001821,2020,Orot,420
אורטל,4013,ORTAL,2,29,292,71,,1,349,349,349,,1978,330,15,2712077699,885,219,10004579,2020,Ortal,211
אורים,403,URIM,6,62,622,38,,1,482,481,453,1,1946,330,15,1545457936,95,651,10001893,2020,Urim,620
